"","Dist","method","AD_p.v","KS_p.v","Chs_p.v","estimate1","estimate2","estimateLL1","estimateLL2"
"AD","exp","mle",6.31578947141165e-07,0,0,0.670072731532367,NA,0,1
"AD1","exp","mme",6.31578947141165e-07,0,0,0.6700727180599,NA,0,1
"AD2","exp","mge",6.31578947141165e-07,0,0,0.599628918801909,NA,0,1
"AD3","gamma","mle",6.31578947141165e-07,0,0,0.773979170129146,0.518583788120776,0,1
"AD4","gamma","mme",6.31578947141165e-07,0,0,1.32470996548707,0.887652007214954,0,1
"AD5","gamma","mge",6.31578947141165e-07,0,0,0.553438099053144,0.289816337046484,0,1
"AD6","gamma","mlg2",6.31578947141165e-07,0,0,0.774065966146936,0.518680878208431,0,1
"AD7","lnorm","mle",6.31578947141165e-07,0,0,-0.369713691702259,1.5140477043861,0,1
"AD8","lnorm","mme",6.31578947141165e-07,0,0,0.119168166206078,0.749934492956179,0,1
"AD9","lnorm","mge",6.31578947141165e-07,0,0,-0.267393507541381,1.82770634426713,0,1
"AD10","weibull","mle",6.31578947141165e-07,0,0,0.869830111267006,1.40337530403133,0,1
"AD11","weibull","mge",6.31578947141165e-07,0,0,0.661091135437092,1.56296506096878,0,1
"AD12","weibull","mlg2",6.31578947141165e-07,0,0,0.869860688318485,1.40323974947963,0,1
"AD13","norm","mle",6.31578947141165e-07,0,0,1.4923753393443,1.29663476692457,0,1
"AD14","norm","mme",6.31578947141165e-07,0,0,1.4923753393443,1.29663476692457,0,1
"AD15","norm","mge",6.31578947141165e-07,0,0,1.46954344386048,1.69279095234621,0,1
"AD16","cauchy","mle",6.31578947141165e-07,0,0,0.964979625671603,1.05233851387797,0,1
"AD17","cauchy","mge",6.31578947141165e-07,0,0,1.45761875409714,1.13782646838952,0,1
"AD18","cauchy","mlg2",6.31578947141165e-07,0,0,0.964587967109319,1.05229272782404,0,1
"AD19","beta","mme",6.31578947141165e-07,4.84103697129257e-08,0,0.39063462072103,0.581569817328772,0,3.71419697892767
"AD20","beta","mge",6.31578947141165e-07,3.23063365503806e-07,0,0.403319771813582,0.599172583972558,0,3.71419697892767
